id,departamento,zona,Mujeres,Hombres,poblacion
1,Amazonas,Amazonía,41524,43532,85056
2,Antioquia,Andina,3543877,3304483,6848360
3,Arauca,Orinoquía,156828,156269,313097
4,Atlántico,Caribe,1435050,1368515,2803565
5,Bogotá,Andina,4120589,3786692,7907281
6,Bolívar,Caribe,1132155,1115128,2247283
7,Boyacá,Andina,658040,640760,1298800
8,Caldas,Andina,537565,502719,1040284
9,Caquetá,Amazonía,211256,213797,425053
10,Casanare,Orinoquía,232999,234776,467775
11,Cauca,Pacífica,788691,769354,1558045
12,Cesar,Caribe,694003,679578,1373581
13,Chocó,Pacífica,301362,293776,595138
14,Córdoba,Caribe,955208,943703,1898911
15,Cundinamarca,Andina,1745031,1700296,3445327
16,Guainía,Amazonía,27307,29244,56551
17,Guaviare,Amazonía,46584,51032,97616
18,Huila,Andina,592307,586146,1178453
19,Guajira,Caribe,528588,509809,1038397
20,Magdalena,Caribe,748597,747566,1496163
21,Meta,Orinoquía,562262,567823,1130085
22,Nariño,Pacífica,871313,828257,1699570
23,Norte de Santander,Andina,860947,835793,1696740
24,Putumayo,Amazonía,191824,191218,383042
25,Quindío,Andina,291824,271252,563076
26,Risaralda,Andina,508237,464067,972304
27,San Andrés y Providencia,Caribe,32571,29698,62269
28,Santander,Andina,1204067,1153060,2357127
29,Sucre,Caribe,495605,498455,994060
30,Tolima,Andina,695621,678763,1374384
31,Valle del Cauca,Pacífica,2436310,2201719,4638029
32,Vaupés,Amazonía,22344,24433,46777
33,Vichada,Orinoquía,59003,64301,123304
